Original,Normalized
1-800 - CONTACTS INC.,1-800 - CONTACTS
1-800 - CONTACTS INC.,1-800 - CONTACTS
1-800 - CONTACTS INC.,1-800 - CONTACTS
1-800 CONTACTS INC,1-800 - CONTACTS
1-800 CONTACTS INC.,1-800 - CONTACTS
"1-800 CONTACTS, INC",1-800 - CONTACTS
"1-800 CONTACTS, INC.",1-800 - CONTACTS
"1-800-CONTACTS, INC.",1-800 - CONTACTS
1-880 CONTACTS INC.,1-800 - CONTACTS
11410 CAND3ELWOOD INC,11410 CANDELWOOD
11410 CANDELWOOD INC,11410 CANDELWOOD
1ST UNITED CREDIT UNION,1ST UNITED CREDIT UNION
1ST UNITED CREDIT UNION (INDEPENDENT EXPENDITURE),1ST UNITED CREDIT UNION
21ST CENTURY ALLIANCE,21ST CENTURY ALLIANCE
21ST CENTURY ALLIANCE GOOD GOVERNMENT PAC,21ST CENTURY ALLIANCE
"7- ELEVEN, INC.",7-ELEVEN
7-ELEVEN INC,7-ELEVEN
7-ELEVEN INC,7-ELEVEN
7-ELEVEN INC.,7-ELEVEN
"7-ELEVEN, INC",7-ELEVEN
"7-ELEVEN, INC.",7-ELEVEN
"A PLUS PRIME CARE HOSPICE, INC",A PLUS PRIME CARE HOSPICE
"A PLUS PRIME CARE HOSPICE, INC.",A PLUS PRIME CARE HOSPICE
ABBOT LABORATORIES EMPLOYEE FEDERAL PAC,ABBOTT LABORATORIES
ABBOTT LABORATORIES EMPLOYEE,ABBOTT LABORATORIES
ABBOTT LABORATORIES EMPLOYEE FEDERAL PAC,ABBOTT LABORATORIES
ABBOTT LABORATORIES EMPLOYEE PAC,ABBOTT LABORATORIES
ABBOTT LABORATORIES EMPLOYEE PAC (FEC ID# C00040279),ABBOTT LABORATORIES
ABBOTT LABORATORIES EMPLOYEE PAC (FED PAC ID # C00040279),ABBOTT LABORATORIES
ABBOTT LABORATORIES EMPLOYEE PAC (FED PAC ID #C00040279),ABBOTT LABORATORIES
ABBOTT LABORATORIES EMPLOYEE PAC (FED PAC ID# C00040279),ABBOTT LABORATORIES
